[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesNetClass
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesClearRule
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesConstraintClass
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesViaSpan
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesGenClear
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesPartTech
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesConstVar
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesC2CClearRule
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesPkgTypeClearRule
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesP2PClearRule
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesParRuleSection
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesParRuleDef
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesNoiseRule
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesGenObj
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesGenCompObj
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesGenObjType
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesVia
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesZAxisLayerRule
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesZAxisClearRule
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: ConfigCheck: CDBImplComp
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: ConfigCheck: CDBImplNet
[2021.05.19 14:25:41] [0000m.01s.776ms] [2] Diagnostic: ConfigCheck: CDBImplPin
[2021.05.19 14:25:41] [0000m.01s.776ms] [2] Diagnostic: Block: FT2_1
[2021.05.19 14:25:41] [0000m.01s.776ms] [2] Diagnostic: BlockCheck: CDBImplNet
[2021.05.19 14:25:41] [0000m.01s.776ms] [2] Diagnostic: BlockCheck: CDBImplBus
[2021.05.19 14:25:41] [0000m.01s.776ms] [2] Diagnostic: BlockCheck: CDBImplPin
[2021.05.19 14:25:41] [0000m.01s.776ms] [2] Diagnostic: BlockCheck: CDBImplPort
[2021.05.19 14:25:41] [0000m.01s.776ms] [2] Diagnostic: BlockCheck: CDBImplComp
[2021.05.19 14:25:41] [0000m.01s.776ms] [2] Diagnostic: BlockCheck: AttributesUtility
[2021.05.19 14:25:41] [0000m.01s.776ms] [2] Diagnostic: BlockCheck: CDBImplBlockViewDxD
[2021.05.19 14:25:41] [0000m.01s.776ms] [2] Diagnostic: BlockViewDxDCheck: CDBImplNetDxD
[2021.05.19 14:25:41] [0000m.01s.776ms] [2] Diagnostic: BlockViewDxDCheck: CDBImplRipperDxD
[2021.05.19 14:25:41] [0000m.01s.776ms] [2] Diagnostic: CesConfigCheck: CesConstraint
[2021.05.19 14:25:41] [0000m.01s.776ms] [2] Diagnostic: CesConfigCheck: CesPin
[2021.05.19 14:25:41] [0000m.01s.776ms] [2] Diagnostic: CesConfigCheck: CesFromTo
[2021.05.19 14:25:41] [0000m.01s.776ms] [2] Diagnostic: CesConfigCheck: CesPhysicalNet
[2021.05.19 14:25:41] [0000m.01s.776ms] [2] Diagnostic: CesConfigCheck: CesPinPair
[2021.05.19 14:25:41] [0000m.01s.776ms] [2] Diagnostic: CesConfigCheck: CesElectricalNet
[2021.05.19 14:25:41] [0000m.01s.776ms] [2] Diagnostic: CesConfigCheck: CesDiffPair
[2021.05.19 14:25:41] [0000m.01s.776ms] [2] Diagnostic: CesConfigCheck: CesComponent
[2021.05.19 14:25:41] [0000m.01s.776ms] [2] Diagnostic: CesConfigCheck: CesPartPin
[2021.05.19 14:25:41] [0000m.01s.776ms] [2] Diagnostic: CesConfigCheck: CesPartPinPair
[2021.05.19 14:25:41] [0000m.01s.776ms] [2] Diagnostic: CesConfigCheck: CesPart
[2021.05.19 14:25:41] [0000m.01s.776ms] [2] Diagnostic: CesConfigCheck: CesDesign
[2021.05.19 14:25:41] [0000m.01s.776ms] [2] Diagnostic: CesConfigCheck: CesLayerClearRule
[2021.05.19 14:25:41] [0000m.01s.776ms] [2] Diagnostic: CesConfigCheck: CesSchemeClearRule
[2021.05.19 14:25:41] [0000m.01s.776ms] [2] Diagnostic: CesConfigCheck: CesViaAssign
[2021.05.19 14:25:41] [0000m.01s.776ms] [2] Diagnostic: CesConfigCheck: CesLayerRule
[2021.05.19 14:25:41] [0000m.01s.776ms] [2] Diagnostic: CesConfigCheck: CesSchemeNetClassRule
[2021.05.19 14:25:41] [0000m.01s.776ms] [2] Diagnostic: CesConfigCheck: CesScheme
[2021.05.19 14:25:41] [0000m.01s.776ms] [2] Diagnostic: CesConfigCheck: CesLayer
[2021.05.19 14:25:41] [0000m.01s.776ms] [2] Diagnostic: CesConfigCheck: CesNetClass
[2021.05.19 14:25:41] [0000m.01s.776ms] [2] Diagnostic: CesConfigCheck: CesClearRule
[2021.05.19 14:25:41] [0000m.01s.776ms] [2] Diagnostic: CesConfigCheck: CesConstraintClass
[2021.05.19 14:25:41] [0000m.01s.776ms] [2] Diagnostic: CesConfigCheck: CesViaSpan
[2021.05.19 14:25:41] [0000m.01s.776ms] [2] Diagnostic: CesConfigCheck: CesGenClear
[2021.05.19 14:25:41] [0000m.01s.776ms] [2] Diagnostic: CesConfigCheck: CesPartTech
